txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status,is_valid_utr,date,year_month,hour,day_name
TXN00011869,2026-01-15 00:11:30,USR45826,MCH7045,15722.34,UTR6498104698,5411,SUCCESS,True,2026-01-15,2026-01,0,Thursday
TXN00010383,2026-01-17 20:09:44,USR79397,MCH5031,6362.9,UTR7656190355,4131,FAILED,True,2026-01-17,2026-01,20,Saturday
TXN00008297,2026-01-23 14:10:16,USR87810,MCH9809,15446.19,UTR9037001889,5411,SUCCESS,True,2026-01-23,2026-01,14,Friday
TXN00006448,2026-02-02 20:17:51,USR54287,MCH6928,12110.49,UTR5257823698,5411,SUCCESS,True,2026-02-02,2026-02,20,Monday
TXN00018792,2026-03-31 14:02:37,USR53865,MCH8121,19432.94,UTR4204272894,4131,SUCCESS,True,2026-03-31,2026-03,14,Tuesday
TXN00000400,2026-02-11 01:40:43,USR90546,MCH6773,18866.03,UTR2080442730,5812,SUCCESS,True,2026-02-11,2026-02,1,Wednesday
TXN00015249,2026-03-10 21:27:31,USR18691,MCH7856,19982.69,UTR5471158093,5999,SUCCESS,True,2026-03-10,2026-03,21,Tuesday
TXN00007121,2026-02-25 00:53:02,USR16629,MCH7753,22687.5,UTR3330570580,5411,SUCCESS,True,2026-02-25,2026-02,0,Wednesday
TXN00008460,2026-02-07 09:53:11,USR20899,MCH9111,8256.07,UTR6505850115,5999,SUCCESS,True,2026-02-07,2026-02,9,Saturday
TXN00002541,2026-03-30 09:37:49,USR51755,MCH2949,16466.93,UTR2787678319,5411,FAILED,True,2026-03-30,2026-03,9,Monday
TXN00003797,2026-03-14 12:21:17,USR81003,MCH5292,13312.0,UTR2464640119,5999,SUCCESS,True,2026-03-14,2026-03,12,Saturday
TXN00000092,2026-01-27 23:43:31,USR70687,MCH4523,17833.99,UTR5315091377,5411,SUCCESS,True,2026-01-27,2026-01,23,Tuesday
TXN00004622,2026-11-03 01:40:12,USR37834,MCH5213,19118.63,UTR1692756805,5812,SUCCESS,True,2026-11-03,2026-11,1,Tuesday
TXN00001542,2026-02-21 01:33:17,USR78386,MCH4890,2680.85,UTR3430344329,5912,SUCCESS,True,2026-02-21,2026-02,1,Saturday
TXN00002592,2026-02-21 05:47:48,USR21114,MCH9819,20100.92,UTR3572682179,5999,PENDING,True,2026-02-21,2026-02,5,Saturday
TXN00017665,2026-01-21 15:06:13,USR96222,MCH6009,16257.95,UTR4021669116,5411,PENDING,True,2026-01-21,2026-01,15,Wednesday
TXN00002012,2026-03-06 13:48:49,USR13976,MCH8222,1575.7,UTR0496925866,5411,SUCCESS,True,2026-03-06,2026-03,13,Friday
TXN00015655,2026-01-09 05:05:51,USR55935,MCH8480,18230.29,UTR6094940155,5999,SUCCESS,True,2026-01-09,2026-01,5,Friday
TXN00011091,2026-03-03 19:17:39,USR13890,MCH8216,23820.57,UTR6527062794,4131,SUCCESS,True,2026-03-03,2026-03,19,Tuesday
TXN00008584,2026-01-17 18:53:31,USR15778,MCH3250,5546.0,UTR0928079796,5912,SUCCESS,True,2026-01-17,2026-01,18,Saturday
TXN00004474,2026-01-17 19:39:58,USR15834,MCH3895,8892.43,UTR4987418462,5812,SUCCESS,True,2026-01-17,2026-01,19,Saturday
